,City,Country,Temperatures (F),Latitude,Longitude,Humidity %,Wind (mph),Cloudiness
29,puerto ayora,EC,78.3,-0.7393,-90.3518,83,5.75,75
30,flinders,AU,73.29,-34.5833,150.8552,75,1.99,3
31,borovskoy,KZ,-5.12,53.8,64.15,92,6.29,94
32,sabae,JP,35.6,35.9465,136.185,93,4.61,40
33,mataura,NZ,50.88,-46.1927,168.8643,84,13.42,100
34,hasaki,JP,39.07,35.7333,140.8333,65,10.36,20
35,penzance,GB,37.42,50.1186,-5.5371,60,20.71,75
36,krasnorechenskiy,RU,9.05,44.6265,135.3532,92,6.93,39
37,rosarito,MX,60.17,32.3333,-117.0333,55,9.22,40
38,airai,TL,65.66,-8.9266,125.4092,95,1.12,85
39,pueblo nuevo,MX,63.63,23.3833,-105.3833,34,7.29,0
40,tuktoyaktuk,CA,-25.6,69.4541,-133.0374,75,11.5,20
41,grand baie,MU,75.0,-20.0182,57.5802,82,5.99,23
42,nikolskoye,RU,3.15,59.7035,30.7861,85,4.12,0
43,khakhea,BW,73.36,-24.6895,23.494,62,5.84,66
44,saint-augustin,CA,12.54,51.226,-58.6502,95,11.48,100
45,los llanos de aridane,ES,58.6,28.6585,-17.9182,82,5.75,20
46,aripuana,BR,75.24,-9.1667,-60.6333,95,2.28,93
47,port alfred,ZA,73.99,-33.5906,26.891,93,1.01,16
48,kashiwazaki,JP,42.37,37.3667,138.55,67,13.98,68
49,samana,DO,78.8,19.2056,-69.3369,83,4.61,20
50,kushiro,JP,15.8,42.975,144.3747,86,5.75,75
51,punta arenas,CL,62.29,-53.15,-70.9167,63,11.5,0
52,tura,IN,59.31,25.5198,90.2201,48,2.28,4
53,kapaa,US,73.96,22.0752,-159.319,53,11.5,20
54,irtyshskiy,RU,-22.9,58.3333,68.1333,85,5.48,0
55,temir,KZ,22.8,49.1414,57.13,98,10.8,100
56,san quintin,MX,58.78,30.4833,-115.95,68,17.07,7
57,bandarbeyla,SO,73.63,9.4942,50.8122,76,17.63,56
58,ushuaia,AR,77.0,-54.8,-68.3,27,18.41,0
59,victoria,HK,58.98,22.2855,114.1577,85,1.01,63
60,hanna,CA,-17.0,51.6334,-111.9018,68,13.0,100
61,jamestown,US,20.79,42.097,-79.2353,58,3.44,90
62,yabelo,ET,61.88,4.8833,38.0833,57,8.79,95
63,castro,BR,60.42,-24.7911,-50.0119,95,6.67,51
64,aquiraz,BR,82.4,-3.9014,-38.3911,78,6.91,20
65,bredasdorp,ZA,68.0,-34.5322,20.0403,83,4.61,39
66,erenhot,CN,35.62,43.6475,111.9767,80,23.82,50
67,naliya,IN,63.5,23.2667,68.8333,71,6.64,82
68,ribeira grande,PT,58.53,38.5167,-28.7,68,34.85,86
69,emerald,AU,75.2,-23.5333,148.1667,78,13.8,75
70,anloga,GH,84.2,5.7947,0.8973,84,9.22,20
71,dikson,RU,-21.44,73.5069,80.5464,88,8.32,34
72,yumen,CN,27.39,40.2833,97.2,81,2.98,8
73,saint george,US,65.8,37.1041,-113.5841,25,6.91,1
74,sola,VU,86.0,-13.8833,167.55,79,11.97,75
75,tasiilaq,GL,8.6,65.6145,-37.6368,52,1.14,75
76,esperance,AU,60.8,-33.8667,121.9,72,9.22,90
77,maxixe,MZ,77.92,-23.8597,35.3472,85,11.83,32
78,portland,US,44.73,45.5234,-122.6762,46,5.75,75
79,mayskiy,RU,44.6,47.6931,40.1025,93,4.47,75
80,mangrol,IN,67.87,21.1167,70.1167,42,8.66,100
81,henties bay,NA,68.0,-22.116,14.2845,89,8.01,99
82,lensk,RU,2.28,60.7253,114.9278,92,4.83,100
83,husavik,IS,15.8,66.0449,-17.3389,92,2.3,90
84,port lincoln,AU,74.62,-34.7333,135.8667,54,13.15,60
85,cayenne,GF,75.2,4.9333,-52.3333,100,3.44,75
86,fairbanks,US,-0.08,64.8378,-147.7164,71,2.73,1
87,hithadhoo,MV,81.3,-0.6,73.0833,80,12.17,47
88,pimenta bueno,BR,74.91,-11.6725,-61.1936,96,2.89,100
89,aklavik,CA,-24.65,68.2191,-135.0107,69,2.3,0
90,severo-kurilsk,RU,27.61,50.6789,156.125,90,10.31,100
91,mar del plata,AR,67.73,-38.0023,-57.5575,83,10.36,75
92,faya,SA,52.7,18.3851,42.4509,66,1.43,0
93,fort nelson,CA,-4.0,58.8053,-122.7002,71,11.5,90
94,kosh-agach,RU,-21.14,50.0,88.6667,72,0.63,15
95,codrington,AU,78.53,-38.2667,141.9667,41,13.6,90
96,genhe,CN,3.7,50.7833,121.5167,91,1.5,53
97,vuktyl,RU,-19.32,63.8567,57.3094,88,4.05,97
98,rylsk,RU,7.03,51.5655,34.6822,95,7.02,76
99,yagodnoye,RU,-1.46,62.55,149.6667,90,2.59,100
100,vavoua,CI,79.74,7.3819,-6.4778,56,4.41,13
101,yarim,YE,45.66,14.298,44.3779,56,5.97,21
102,kavieng,PG,83.23,-2.5744,150.7967,74,7.9,87
103,nabire,ID,78.08,-3.3667,135.4833,88,1.79,100
104,timberlake,US,39.4,37.3207,-79.2575,65,3.44,90
105,hovd,MN,10.98,48.0056,91.6419,55,7.54,47
106,coquimbo,CL,66.2,-29.9533,-71.3436,77,11.5,20
107,mahebourg,MU,78.8,-20.4081,57.7,78,14.97,40
108,vila velha,BR,79.92,-20.3297,-40.2925,83,5.75,40
109,taltal,CL,67.3,-25.4,-70.4833,71,4.36,24
110,leningradskiy,RU,-28.68,69.3833,178.4167,83,8.01,11
111,fortuna foothills,US,74.7,32.6578,-114.4119,23,4.61,1
112,te anau,NZ,50.59,-45.4167,167.7167,84,6.24,100
113,deputatskiy,RU,-22.47,69.3,139.9,89,3.56,40
114,araouane,ML,71.83,18.9048,-3.5265,17,10.65,76
115,clyde river,CA,6.8,70.4692,-68.5914,85,25.77,0
116,new norfolk,AU,64.99,-42.7826,147.0587,45,3.0,15
117,lagoa,PT,57.15,39.05,-27.9833,70,36.8,73
118,verkhnyaya inta,RU,-17.93,65.9811,60.3094,88,7.34,100
119,mangai,CD,73.53,-4.05,19.5333,83,1.41,100
120,saskylakh,RU,-22.7,71.9167,114.0833,83,8.32,0
121,sinnamary,GF,76.87,5.3833,-52.95,83,11.81,67
122,hambantota,LK,72.63,6.1241,81.1185,74,15.1,100
123,ribeira brava,PT,57.42,32.65,-17.0667,95,1.01,81
124,pontian kecil,MY,75.67,1.4801,103.3899,94,2.3,20
125,zomin,UZ,47.73,39.9606,68.3958,51,4.16,5
126,caravelas,BR,76.15,-17.7125,-39.2481,80,4.99,21
127,morant bay,JM,80.82,17.8815,-76.4093,74,25.32,20
128,constitucion,CL,65.01,-35.3333,-72.4167,83,3.29,22
129,bowen,AU,77.0,-20.0167,148.2333,88,5.75,40
130,tessalit,ML,68.65,20.1986,1.0114,18,9.53,3
131,nanhai,CN,45.0,30.1282,111.7784,94,3.27,36
132,kruisfontein,ZA,70.0,-34.0033,24.7314,92,0.65,55
133,carnarvon,AU,69.8,-24.8667,113.6333,88,18.41,0
134,namibe,AO,73.56,-15.1961,12.1522,72,2.86,100
135,arraial do cabo,BR,75.2,-22.9661,-42.0278,88,5.75,40
136,tsalka,GE,35.83,41.5946,44.0891,80,6.73,18
137,avarua,CK,86.0,-21.2078,-159.775,66,9.22,100
138,ucluelet,CA,39.07,48.9329,-125.5528,70,4.61,75
139,kaitangata,NZ,57.99,-46.2817,169.8464,58,25.01,95
140,lagunas,PE,80.6,-5.2269,-75.6753,85,1.14,100
141,nha trang,VN,73.4,12.25,109.1833,73,9.22,20
142,the valley,AI,77.77,18.217,-63.0578,73,14.97,40
143,port blair,IN,75.22,11.6667,92.75,66,8.9,18
144,ilulissat,GL,14.0,69.2167,-51.1,44,16.11,5
145,vila franca do campo,PT,59.52,37.7167,-25.4333,88,19.57,40
146,ahipara,NZ,64.89,-35.1667,173.1667,81,11.14,98
147,kavaratti,IN,81.23,10.5669,72.642,64,9.51,83
148,bumba,CD,74.43,2.1833,22.4667,40,1.83,89
149,thompson,CA,-18.4,55.7435,-97.8558,69,9.22,75
150,beirut,LB,55.72,33.8889,35.4944,72,2.3,75
151,bloomingdale,US,78.24,27.8936,-82.2404,51,5.37,1
152,guayaramerin,BO,72.46,-10.8368,-65.3614,99,1.45,100
153,vostok,RU,-1.19,46.4856,135.8833,93,4.34,57
154,namatanai,PG,82.6,-3.6667,152.4333,76,3.65,71
155,riohacha,CO,80.8,11.5444,-72.9072,59,11.21,0
156,souillac,MU,78.8,-20.5167,57.5167,78,14.97,40
157,pringsewu,ID,72.7,-5.3582,104.9744,93,2.15,77
158,saint-philippe,RE,73.54,-21.3585,55.7679,73,2.3,20
159,blackwater,AU,75.76,-23.5833,148.8833,69,11.79,92
160,half moon bay,US,59.02,37.4636,-122.4286,76,11.5,1
161,geraldton,AU,57.2,-28.7667,114.6,88,5.75,0
162,goya,AR,75.65,-29.14,-59.2626,55,2.91,80
163,richards bay,ZA,76.17,-28.783,32.0377,84,1.74,87
164,dubbo,AU,71.6,-32.25,148.6167,64,9.22,0
165,candabong,PH,78.69,9.7343,124.5383,87,4.94,99
166,khudumelapye,BW,70.81,-23.8833,24.75,69,4.68,100
167,victor harbor,AU,85.42,-35.5667,138.6167,30,14.2,20
168,lubao,PH,74.3,14.9167,120.55,100,2.3,75
169,lebu,CL,64.89,-37.6167,-73.65,78,9.89,1
170,hammerfest,NO,26.6,70.6634,23.6821,80,11.5,90
171,ossora,RU,13.95,59.2353,163.0719,95,6.76,99
172,haines junction,CA,-16.6,60.7522,-137.5108,43,1.14,3
173,tiksi,RU,-9.71,71.6872,128.8694,87,2.73,100
174,mareeba,AU,78.04,-17.0,145.4333,89,1.14,90
175,saldanha,ZA,66.2,-33.0117,17.9442,77,10.36,0
176,fort saint james,CA,-2.76,54.4333,-124.25,84,2.98,1
177,cairns,AU,79.41,-16.9167,145.7667,89,1.14,90
178,malanje,AO,64.6,-9.5402,16.341,96,6.51,98
179,oranjemund,NA,65.14,-28.55,16.4333,81,10.31,23
180,chippewa falls,US,5.2,44.9369,-91.3929,43,10.36,1
181,touros,BR,82.4,-5.1989,-35.4608,74,11.5,75
182,sorong,ID,82.44,-0.8833,131.25,78,3.56,99
183,sao filipe,CV,72.01,14.8961,-24.4956,76,11.14,50
184,elizabeth city,US,42.22,36.2946,-76.2511,75,11.5,90
185,kalaleh,IR,61.16,37.3807,55.4916,33,6.44,98
186,estremoz,PT,52.99,38.8443,-7.5859,94,15.01,98
187,san cristobal,VE,82.4,7.7669,-72.225,61,6.91,40
188,galle,LK,73.13,6.0367,80.217,86,5.64,85
189,staromyshastovskaya,RU,45.45,45.3433,39.0761,87,6.71,0
190,college,US,-0.54,64.8569,-147.8028,65,3.44,90
191,rockhampton,AU,77.0,-23.3833,150.5,69,8.05,90
192,bacolod,PH,78.76,10.6667,122.95,81,1.68,33
193,norden,DE,27.73,53.6,7.2,57,4.0,99
194,muros,ES,50.81,42.7762,-9.0603,93,10.0,100
195,mao,ES,46.4,39.8885,4.2658,87,4.61,0
196,talnakh,RU,-13.94,69.4865,88.3972,79,3.15,75
197,lompoc,US,58.8,34.6391,-120.4579,59,14.97,1
198,mizan teferi,ET,67.8,6.9833,35.5833,42,1.66,99
199,west bay,KY,81.18,19.3667,-81.4167,69,9.22,75
200,saint-pierre,RE,76.05,-21.3393,55.4781,73,2.3,20
201,ancud,CL,78.17,-41.8697,-73.8203,47,6.91,0
202,tambacounda,SN,85.14,13.7539,-13.7586,14,7.72,96
203,krasnoselkup,RU,-23.03,65.7,82.4667,87,5.3,100
204,mokhsogollokh,RU,-19.41,61.4681,128.9203,87,3.71,9
205,kinston,US,52.65,35.2627,-77.5816,58,5.75,90
206,westport,US,30.18,41.1415,-73.3579,43,3.62,1
207,tarpon springs,US,70.75,28.1461,-82.7568,78,4.61,69
208,georgetown,MY,78.4,5.4112,100.3354,78,2.3,20
209,florianopolis,BR,77.0,-27.6146,-48.5012,73,4.61,40
210,kattivakkam,IN,68.0,13.2167,80.3167,88,2.86,20
211,naze,JP,57.2,28.3667,129.4833,88,6.91,75
212,haapiti,PF,75.09,-17.5667,-149.8667,78,11.5,75
213,bethel,US,27.73,41.3712,-73.414,46,3.44,1
214,turbe,BA,44.78,44.2436,17.5714,84,1.25,100
215,karymskoye,RU,14.79,51.6167,114.35,95,1.48,100
216,jinchang,CN,32.7,38.4953,102.1739,74,6.11,24
217,kalmunai,LK,70.09,7.4167,81.8167,78,7.23,76
218,atuona,PF,79.12,-9.8,-139.0333,78,17.13,1
219,qasigiannguit,GL,14.0,68.8193,-51.1922,44,16.11,0
220,bambous virieux,MU,77.0,-20.3428,57.7575,78,14.97,40
221,mount gambier,AU,71.6,-37.8333,140.7667,53,5.75,79
222,mkushi,ZM,65.86,-13.6202,29.3939,95,2.1,100
223,los angeles,US,61.32,34.0522,-118.2437,55,4.61,20
224,provideniya,RU,-9.4,64.3833,-173.3,64,17.9,0
225,bardiyah,LY,61.52,31.7561,25.0865,46,8.12,0
226,port elizabeth,ZA,71.6,-33.918,25.5701,100,4.61,75
227,ranir bazar,IN,58.39,23.8333,91.3667,52,3.02,0
228,vanderhoof,CA,-5.15,54.0166,-124.0198,85,2.17,42
229,faanui,PF,81.93,-16.4833,-151.75,69,10.92,0
230,kahului,US,73.08,20.8947,-156.47,50,17.27,20
231,anadyr,RU,-11.2,64.75,177.4833,64,2.24,0
232,shimoda,JP,37.0,34.6667,138.95,66,9.04,1
233,upernavik,GL,-0.78,72.7868,-56.1549,92,15.61,63
234,katsuura,JP,44.85,35.1333,140.3,57,11.5,20
235,jizan,SA,77.0,17.3333,42.6667,83,4.61,20
236,margate,GB,32.83,51.3813,1.3862,65,1.99,98
237,roma,US,21.0,43.2128,-75.4557,50,8.05,90
238,vytegra,RU,-4.05,61.0064,36.4481,90,3.49,100
239,kodinsk,RU,-10.3,58.6881,99.1844,89,2.95,72
240,benghazi,LY,63.88,32.1167,20.0667,40,14.85,0
241,namwala,ZM,66.33,-15.7504,26.4384,96,2.37,100
242,chokurdakh,RU,-12.26,70.6333,147.9167,89,8.81,55
243,san patricio,US,76.41,28.017,-97.5169,69,19.57,75
244,kamenka,RU,23.0,51.3223,42.7678,95,1.99,100
245,sovetskiy,RU,-23.19,61.3614,63.5842,85,3.69,0
246,barrow,US,-29.2,71.2906,-156.7887,68,9.22,20
247,mayo,US,35.19,38.8876,-76.5119,65,5.75,90
248,mandal,IN,57.24,25.45,74.5667,34,2.73,7
249,pacific grove,US,56.43,36.6177,-121.9166,67,5.75,1
250,bud,US,21.0,39.447,-86.1758,90,12.39,100
251,bengkulu,ID,73.71,-3.8004,102.2655,88,4.88,69
252,les escoumins,CA,17.74,48.1111,-69.0236,49,28.77,96
253,chapais,CA,6.8,49.7834,-74.8492,61,3.44,1
254,east london,ZA,75.45,-33.0153,27.9116,89,10.98,6
255,ruzomberok,SK,26.06,49.0748,19.3075,100,5.95,99
256,cabo san lucas,MX,77.0,22.8909,-109.9124,37,3.0,0
257,gunjur,GM,71.6,13.2019,-16.7339,64,8.05,79
258,cherskiy,RU,-11.0,68.75,161.3,86,3.2,0
259,hayden,US,30.24,47.766,-116.7866,40,8.05,1
260,hutchinson,US,15.28,38.0608,-97.9298,67,13.8,90
261,el dorado,US,55.04,38.7666,-120.5177,73,1.99,47
262,marzuq,YE,53.55,14.4,46.4667,42,2.86,26
263,lorengau,PG,78.98,-2.0226,147.2712,85,14.14,100
264,maceio,BR,78.8,-9.6658,-35.7353,89,8.05,75
265,podporozhye,RU,-2.54,60.9112,34.1706,91,3.29,100
266,yulara,AU,84.2,-25.2406,130.9889,61,6.91,40
267,puerto madero,MX,82.47,14.7208,-92.4215,69,11.61,3
268,camacha,PT,62.6,33.0833,-16.3333,94,8.72,75
269,dese,ET,48.2,11.1333,39.6333,72,2.1,77
270,alofi,NU,86.0,-19.0595,-169.9187,79,9.22,75
271,kirakira,SB,84.43,-10.4544,161.9205,71,6.71,100
272,farafangana,MG,72.18,-22.8167,47.8333,92,6.02,100
273,dali,CN,40.89,25.7,100.1833,79,2.95,0
274,chor,PK,57.65,25.5167,69.7667,32,1.92,39
275,laguna,US,67.57,38.421,-121.4238,48,2.82,1
276,bafq,IR,55.56,31.6128,55.4107,34,3.04,58
277,pochutla,MX,86.0,15.7432,-96.4661,63,10.0,12
278,fortuna,US,58.1,40.5982,-124.1573,62,6.91,1
279,pevek,RU,-14.44,69.7008,170.3133,70,2.8,0
280,hofn,IS,28.4,64.2539,-15.2082,93,3.44,75
281,khani,GE,50.0,41.9563,42.9566,76,1.14,20
282,poum,NC,79.21,-20.2333,164.0167,71,12.97,33
283,shubarkuduk,KZ,28.47,49.1447,56.4872,98,11.79,100
284,zaraza,VE,78.17,9.3503,-65.3245,63,11.83,60
285,comodoro rivadavia,AR,68.0,-45.8667,-67.5,83,5.75,40
286,novobiryusinskiy,RU,-2.0,56.9578,97.7076,91,4.83,100
287,amuntai,ID,75.36,-2.4177,115.2494,95,0.29,78
288,guerrero negro,MX,60.35,27.9769,-114.0611,63,17.98,68
289,seymchan,RU,-9.42,62.8833,152.4333,87,0.27,64
290,kodiak,US,39.2,57.79,-152.4072,81,24.16,90
291,labuhan,ID,76.89,-6.8844,112.2051,88,7.7,97
292,ostersund,SE,3.2,63.1792,14.6357,85,5.75,0
293,kokstad,ZA,64.6,-30.5472,29.4241,93,2.59,98
294,lavrentiya,RU,-26.25,65.5833,-171.0,80,10.71,0
295,mhlume,SZ,73.0,-26.0333,31.85,90,3.69,11
296,bela palanka,RS,54.45,43.2183,22.3111,54,5.75,40
297,pemba,MZ,78.98,-12.974,40.5178,84,17.56,100
298,palu,ID,77.59,-0.8917,119.8707,78,2.01,95
299,brigantine,US,34.5,39.4101,-74.3646,51,4.61,40
300,pangai,TO,82.4,-19.8,-174.35,89,5.75,40
301,verkhoyansk,RU,-21.33,67.5447,133.385,80,3.06,1
302,erzin,TR,59.0,36.9559,36.2,84,1.52,2
303,zaysan,KZ,-0.11,47.4667,84.8667,88,1.41,80
304,sistranda,NO,19.4,63.7256,8.834,79,11.5,20
305,nome,US,-7.6,64.5011,-165.4064,49,6.91,1
306,beringovskiy,RU,-21.03,63.05,179.3167,86,13.73,86
307,pangnirtung,CA,5.0,66.1451,-65.7125,72,3.27,1
308,iqaluit,CA,8.6,63.7506,-68.5145,85,2.3,75
309,jalingo,NG,77.0,8.8833,11.3667,16,3.36,36
310,bonthe,SL,78.64,7.5264,-12.505,85,7.63,45
311,jardim,BR,70.93,-21.4803,-56.1381,83,6.64,100
312,loiza,PR,76.82,18.4313,-65.8802,78,11.5,40
313,mbanza-ngungu,CD,66.45,-5.25,14.8667,97,1.07,99
314,izhmorskiy,RU,-13.54,56.194,86.6414,88,10.09,100
315,coihaique,CL,89.6,-45.5752,-72.0662,27,9.22,0
316,neunkirchen,DE,19.8,49.35,7.1833,79,6.91,20
317,sabha,LY,61.84,27.0377,14.4283,28,9.04,0
318,eureka,US,57.88,40.8021,-124.1637,64,4.0,20
319,nemuro,JP,22.28,43.3236,145.575,91,11.74,95
320,chuy,UY,70.56,-33.6971,-53.4616,85,11.34,70
321,severo-yeniseyskiy,RU,-21.28,60.3725,93.0408,88,5.21,70
322,tuatapere,NZ,51.94,-46.1333,167.6833,88,14.81,100
323,koungou,YT,75.2,-12.7336,45.2042,94,2.3,0
324,zhigansk,RU,-17.07,66.7697,123.3711,85,11.34,57
325,adrar,MR,65.59,20.5022,-10.0711,21,9.42,15
326,ponta do sol,PT,57.51,32.6667,-17.1,76,3.0,84
327,yershov,RU,10.53,51.3513,48.2766,96,8.77,100
328,stornoway,GB,32.0,58.2093,-6.3865,59,9.22,0
329,porto novo,BJ,84.2,6.4965,2.6036,89,11.5,40
330,kathu,TH,77.0,7.9178,98.3332,88,2.3,20
331,rostovka,RU,-26.72,55.3842,71.8891,85,4.92,44
332,yaan,NG,81.55,7.3833,8.5667,14,3.85,17
333,walvis bay,NA,67.03,-22.9575,14.5053,82,6.91,91
334,rapar,IN,66.99,23.5667,70.6333,40,8.12,59
335,krasnyy chikoy,RU,16.83,50.3643,108.7512,94,4.88,100
336,sobolevo,RU,-2.87,54.4299,31.8996,92,5.03,52
337,breyten,ZA,59.47,-26.3018,29.987,95,6.08,47
338,snezhnogorsk,RU,8.6,69.1933,33.2531,92,6.71,75
339,shiraz,IR,44.6,29.6036,52.5388,57,1.83,0
340,havelock,US,48.7,34.8791,-76.9013,80,5.01,86
341,villazon,BO,49.98,-22.0866,-65.5942,63,13.91,78
342,doha,QA,62.74,25.2867,51.5333,88,5.75,0
343,klaksvik,FO,23.0,62.2266,-6.589,80,1.14,76
344,rocha,UY,67.96,-34.4833,-54.3333,87,7.49,74
345,palmer,US,24.73,42.1584,-72.3287,50,11.5,75
346,xam nua,LA,47.66,20.4197,104.0439,92,1.3,18
347,wiarton,CA,16.99,44.7407,-81.1332,79,5.75,90
348,boddam,GB,23.11,57.4667,-1.7833,92,2.3,4
349,homer,US,28.62,59.6425,-151.5483,86,8.9,90
350,chicama,PE,77.0,-7.8447,-79.1469,65,10.36,37
351,mashhad,IR,44.6,36.297,59.6062,61,4.61,0
352,san javier,ES,53.87,37.8063,-0.8374,81,4.61,42
353,atar,MR,66.34,20.5169,-13.0499,22,8.16,0
354,orapa,BW,71.6,-21.2833,25.3667,67,8.52,100
355,bonfim,BR,85.6,3.0833,-59.95,45,9.86,27
356,vrani,RO,53.29,45.0383,21.4925,71,13.8,100
357,kintampo,GH,80.4,8.0563,-1.7306,19,2.37,11
358,davila,PH,75.2,18.4726,120.5763,88,8.99,75
359,sabang,ID,81.59,5.8933,95.3214,75,5.26,49
360,broome,US,19.96,42.2506,-75.833,49,3.44,90
361,ketchikan,US,24.8,55.3422,-131.6461,36,6.91,1
362,bilma,NE,67.86,18.6853,12.9164,21,5.77,0
363,upata,VE,80.01,8.0086,-62.3989,74,5.99,87
364,talcahuano,CL,60.8,-36.7167,-73.1167,94,9.22,90
365,paraiso,CR,72.52,9.8383,-83.8656,53,18.41,20
366,dauphin,CA,-13.0,51.1494,-100.0502,53,13.8,75
367,sambava,MG,76.08,-14.2667,50.1667,90,3.27,100
368,kesova gora,RU,-3.5,57.5836,37.2922,93,7.74,88
369,tilichiki,RU,-7.42,60.4667,166.1,90,12.26,100
370,noumea,NC,77.5,-22.2763,166.4572,88,2.3,90
371,kaharlyk,UA,18.19,49.8623,30.8282,86,2.24,90
372,kenai,US,17.65,60.5544,-151.2583,79,14.97,90
373,dawlatabad,AF,52.79,36.4141,64.9053,47,2.35,0
374,praia da vitoria,PT,59.0,38.7333,-27.0667,67,19.95,20
375,rawlins,US,39.2,41.7911,-107.2387,38,31.07,1
376,erdenet,MN,9.57,49.0333,104.0833,96,1.59,99
377,general roca,AR,86.0,-39.0333,-67.5833,23,14.97,0
378,tsumeb,NA,64.54,-19.2333,17.7167,93,10.56,100
379,strezhevoy,RU,-20.2,60.7333,77.5889,76,8.95,0
380,milkovo,RU,19.27,54.7167,158.6167,96,2.98,100
381,makakilo city,US,76.33,21.3469,-158.0858,44,6.91,1
382,misratah,LY,66.06,32.3754,15.0925,31,12.97,0
383,pisco,PE,75.99,-13.7,-76.2167,78,5.75,90
384,kholmogory,RU,-5.8,64.2229,41.656,84,2.24,90
385,mendi,PG,63.27,-6.1761,143.6513,84,1.99,80
386,barcelos,PT,53.04,41.5388,-8.6151,94,12.66,75
387,marawi,PH,73.99,7.9986,124.2928,91,7.0,62
388,jimenez,MX,80.42,28.3333,-105.4,14,21.56,3
389,puerto escondido,MX,82.8,15.85,-97.0667,61,7.99,0
390,fukue,JP,53.73,32.6881,128.8419,50,6.85,100
391,mokrousovo,RU,-18.87,55.8103,66.7653,86,6.15,92
392,shelburne,CA,16.7,44.0787,-80.2041,63,4.61,90
393,kungurtug,RU,-2.33,50.5994,97.5228,84,1.86,99
394,cidreira,BR,74.28,-30.1811,-50.2056,84,14.61,56
395,linxia,CN,33.93,35.6003,103.2064,75,3.44,64
396,lata,PT,56.37,40.1629,-8.3327,93,1.99,100
397,juneau,US,19.4,58.3019,-134.4197,32,11.5,1
398,kimbe,PG,82.58,-5.5502,150.1429,77,1.61,93
399,peniche,PT,57.7,39.3558,-9.3811,92,14.0,92
400,bathsheba,BB,78.8,13.2167,-59.5167,61,19.57,40
401,viytivka,UA,24.75,48.426,29.5429,96,7.07,84
402,kunya,NG,64.4,12.2233,8.5325,45,3.44,0
403,biltine,TD,67.08,14.5333,20.9167,26,9.01,0
404,am timan,TD,71.69,11.0297,20.2827,19,5.06,36
405,kaeo,NZ,63.57,-35.1,173.7833,87,7.07,100
406,vestmanna,FO,23.0,62.1564,-7.1664,80,1.14,29
407,itoman,JP,62.08,26.1247,127.6694,88,21.85,75
408,san policarpo,PH,80.1,12.1791,125.5072,85,12.53,48
409,pangody,RU,-20.4,65.85,74.4859,87,14.18,100
410,comala,MX,81.68,19.3167,-103.75,36,7.16,0
411,yar-sale,RU,-22.11,66.8333,70.8333,85,13.85,100
412,praya,CV,69.8,14.9215,-23.5087,78,16.11,40
413,portobelo,PA,76.17,9.55,-79.65,99,12.03,37
414,luganville,VU,85.26,-15.5333,167.1667,61,1.97,0
415,kango,GA,77.36,0.1943,10.0951,94,2.33,100
416,vao,NC,76.17,-22.6667,167.4833,84,13.65,35
417,chumikan,RU,1.27,54.7183,135.315,87,18.5,100
418,katsuyama,JP,35.6,36.0617,136.501,93,4.61,40
419,morros,BR,74.62,-9.4467,-46.3003,84,4.21,77
420,udaipur,IN,59.45,24.5712,73.6918,31,4.56,16
421,pontes e lacerda,BR,78.44,-15.2261,-59.3353,72,2.44,80
422,sangar,RU,-13.34,63.9242,127.4739,86,1.01,88
423,longyearbyen,SJ,8.6,78.2186,15.6401,72,24.16,90
424,markova,UA,33.37,48.6758,24.4138,94,3.09,100
